row,Environment,AssetType,AssetCriticality,Impact
1,production,compute,critical,very high
2,production,compute,high,very high
3,production,compute,medium,high
4,production,compute,low,medium
5,non_production,compute,critical,high
6,non_production,compute,high,high
7,non_production,compute,medium,medium
8,non_production,compute,low,low
9,None,compute,critical,very high
10,None,compute,high,very high
11,None,compute,medium,high
12,None,compute,low,medium
13,production,db,critical,very high
14,production,db,high,very high
15,production,db,medium,high
16,production,db,Low,medium
17,non_production,db,critical,high
18,non_production,db,high,high
19,non_production,db,medium,medium
20,non_production,db,low,low
21,None,db,critical,very high
22,None,db,high,very high
23,None,db,medium,high
24,None,db,low,medium
25,production,None,critical,very high
26,production,None,high,very high
27,production,None,medium,high
28,production,None,low,medium
29,non_production,None,critical,high
30,non_production,None,high,medium
31,non_production,None,medium,low
32,non_production,None,low,low
33,None,None,critical,very high
34,None,None,high,very high
35,None,None,medium,high
36,None,None,low,medium
37,production,storage,critical,very high
38,production,storage,high,very high
39,production,storage,medium,high
40,production,storage,low,medium
41,non_production,storage,critical,high
42,non_production,storage,high,high
43,non_production,storage,medium,medium
44,non_production,storage,low,low
45,None,storage,critical,very high
46,None,storage,high,very high
47,None,storage,medium,high
48,None,storage,low,medium
49,production,network,critical,very high
50,production,network,high,very high
51,production,network,medium,high
52,production,network,low,medium
53,non_production,network,critical,high
54,non_production,network,high,high
55,non_production,network,medium,medium
56,non_production,network,low,low
57,None,network,critical,very high
58,None,network,high,very high
59,None,network,medium,high
60,None,network,low,medium
